T,P1,P2,RM1,RM2,X,M2,M3,YM23,V,C2,C3,C5
120,5.5,5.0,2.1,17.9,120,4.0,50.1,30.3,40.0,6.82,0.02,0.07
120,6.4,5.0,4.7,35.3,60,2.3,50.1,20.0,40.0,7.16,0.03,0.07
103,5.8,5.0,4.0,22.7,90,3.15,30.0,36.4,40.0,7.35,0.02,0.06
103,6.5,5.0,6.0,34.0,60,3.15,30.0,36.4,40.0,4.99,0.02,0.04
75,5.0,5.0,5.4,14.6,120,2.3,10.0,55.6,40.0,11.11,1.55,0.95
75,6.1,5.0,10.8,29.2,60,2.3,10.0,55.6,40.0,11.69,1.85,1.41
120,5.6,5.0,6.2,13.8,120,2.3,10.0,55.6,40.0,22.85,59.16,1.64
120,7.9,5.0,10.4,29.6,60,4.0,10.0,68.5,40.0,52.38,25.18,6.25
75,6.1,5.0,5.2,14.8,120,4.0,10.0,68.5,40.0,70.38,20.58,2.27
75,5.4,5.0,5.2,14.8,120,4.0,10.0,68.53,40.0,69.17,25.02,1.04
75,7.7,5.0,10.4,29.8,60,4.0,10.0,68.53,40.0,68.7,25.13,1.32
75,5.8,0.0,13.8,39.6,45,4.0,10.0,68.53,40.0,70.63,24.01,1.26
75,5.2,2.5,11.8,28.2,60,2.75,10.0,60.0,40.0,17.67,5.55,4.87
75,5.4,2.5,11.4,28.6,60,3.0,10.0,62.0,40.0,65.1,27.86,2.65
75,5.5,2.5,11.1,28.9,60,3.25,10.0,63.9,40.0,59.33,32.87,1.81
75,6.3,2.5,10.3,29.8,60,4.0,10.0,68.5,40.0,68.78,24.0,1.68
75,3.6,0.0,10.3,29.8,60,4.0,10.0,68.5,40.0,68.25,24.07,1.9
75,5.4,0.0,13.7,39.6,45,4.0,10.0,68.5,40.0,71.63,21.87,2.7
75,5.6,2.0,10.3,29.7,60,4.0,10.0,68.5,40.0,64.51,26.68,5.07
75,5.2,1.5,15.7,37.6,45,2.75,10.0,60.0,40.0,2.99,0.41,0.87
75,5.4,1.5,15.3,38.1,45,3.0,10.0,62.0,40.0,10.15,3.61,6.56
75,5.7,1.5,14.8,38.5,45,3.25,10.0,63.89,40.0,55.68,39.2,0.87
75,6.2,1.5,13.7,39.6,45,4.0,10.0,68.5,40.0,71.29,23.2,1.33
75,4.6,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,69.65,23.06,1.22
65,4.6,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,66.17,27.86,2.66
55,4.8,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,7.48,3.08,8.68
45,5.1,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,1.97,0.63,2.49
35,5.5,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,0.71,0.11,1.03
75,4.7,1.5,10.3,29.7,60,4.0,10.0,68.5,40.0,70.7,22.61,1.86
75,4.3,1.5,10.3,29.7,48,4.0,10.0,68.5,32.0,70.5,23.93,1.89
75,4.0,1.5,10.3,29.7,36,4.0,10.0,68.5,24.0,20.92,16.45,23.31
75,3.9,1.5,10.3,29.7,24,4.0,10.0,68.5,16.0,4.77,2.82,14.76
75,3.6,1.5,10.3,29.7,12,4.0,10.0,68.5,8.0,1.45,0.43,3.65
90,4.8,2.0,10.3,29.7,60,4.0,10.0,68.5,40.0,61.89,22.9,3.42
90,3.7,2.0,10.3,29.7,24,4.0,10.0,68.5,16.0,61.7,27.55,3.76
90,3.4,2.0,10.3,29.7,12,4.0,10.0,68.5,8.0,22.51,18.01,32.68
